idx;Variable_AR6;Unit;r21m42;r21m42_unit;r21m42_factor;r21m42_spatial;m42;m42_unit;m42_factor;r30m44;r30m44_unit;r30m44_factor;r30m44_spatial;m44;m44_unit;m44_factor;internal_comment;Comment;Definition
21;Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids;Mt CO2/yr;Emi|CO2|Carbon Capture and Storage|Biomass|Supply|Liquids|w/ couple prod;Mt CO2/yr;;;;;;Carbon Management|Storage|Biomass|Pe2Se|+|Liquids w/ couple prod;Mt CO2/yr;;;;;;;;total carbon dioxide emissions captured from bioenergy use in liquid fuel production (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
22;Carbon Sequestration|CCS|Biomass|Energy|Supply|Other;Mt CO2/yr;Emi|CO2|Carbon Capture and Storage|Biomass|Supply|Heat|w/ couple prod;Mt CO2/yr;;;;;;;;;;;;;;;total carbon dioxide emissions captured from bioenergy use in other energy supply (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
23;Carbon Sequestration|CCS|Biomass|Industrial Processes;Mt CO2/yr;;;;;;;;;;;;;;;;;total carbon dioxide emissions captured from industrial processes from biomass (e.g.,cement production,but not from fossil fuel burning) use and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
24;Carbon Sequestration|CCS|Fossil;Mt CO2/yr;Emi|CO2|Carbon Capture and Storage|Fossil|Energy|Demand|Industry;Mt CO2/yr;;;;;;Carbon Management|Storage|+|Fossil|Pe2Se;Mt CO2/yr;;;;;;;;total carbon dioxide emissions captured from fossil fuel use and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
;Carbon Sequestration|CCS|Fossil;Mt CO2/yr;Emi|CO2|Carbon Capture and Storage|Fossil|Pe2Se;Mt CO2/yr;;;;;;Carbon Management|Storage|Industry Energy|+|Fossil;Mt CO2/yr;;;;;;;;
25;Carbon Sequestration|CCS|Fossil|Energy;Mt CO2/yr;;;;;;;;;;;;;;;;;total carbon dioxide emissions captured from fossil fuel use and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
26;Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry;Mt CO2/yr;Emi|CO2|Carbon Capture and Storage|Fossil|Energy|Demand|Industry;Mt CO2/yr;;;;;;Carbon Management|Storage|Industry Energy|+|Fossil;Mt CO2/yr;;;;;;;;total carbon dioxide emissions captured from fossil fuel use in industry (IPCC category 1A2) and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
;Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry;Mt CO2/yr;;;;;;;;;;;;;;;;;
27;Carbon Sequestration|CCS|Fossil|Energy|Supply;Mt CO2/yr;Emi|CO2|Carbon Capture and Storage|Fossil|Pe2Se;Mt CO2/yr;;;;;;Carbon Management|Carbon Capture|+|Fossil|Pe2Se;Mt CO2/yr;;;;;;;;total carbon dioxide emissions captured from fossil fuel use in energy supply (IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
28;Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity;Mt CO2/yr;;;;;;;;Carbon Management|Storage|Fossil|Pe2Se|+|Electricity w/ couple prod;Mt CO2/yr;;;;;;;;total carbon dioxide emissions captured from fossil fuel use in electricity production (part of IPCC category 1A1a) and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
29;Carbon Sequestration|CCS|Fossil|Energy|Supply|Gases;Mt CO2/yr;;;;;;;;Carbon Management|Storage|Fossil|Pe2Se|+|Gases w/ couple prod;Mt CO2/yr;;;;;;;;total carbon dioxide emissions captured from fossil fuel use in gaseous fuel production,excl. hydrogen (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
30;Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen;Mt CO2/yr;;;;;;;;Carbon Management|Storage|Fossil|Pe2Se|+|Hydrogen w/ couple prod;Mt CO2/yr;;;;;;;;total carbon dioxide emissions captured from fossil fuel use in hydrogen production (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
31;Carbon Sequestration|CCS|Fossil|Energy|Supply|Liquids;Mt CO2/yr;;;;;;;;Carbon Management|Storage|Fossil|Pe2Se|+|Liquids w/ couple prod;Mt CO2/yr;;;;;;;;total carbon dioxide emissions captured from fossil fuel use in liquid fuel production (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
32;Carbon Sequestration|CCS|Fossil|Energy|Supply|Other;Mt CO2/yr;;;;;;;;;;;;;;;;;total carbon dioxide emissions captured from fossil fuel use in other energy supply (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
33;Carbon Sequestration|CCS|Fossil|Industrial Processes;Mt CO2/yr;;;;;;;;Carbon Management|Storage|+|Industry Process;Mt CO2/yr;;;;;;;;total carbon dioxide emissions captured from industrial processes from fossil fuels (e.g.,cement production,but not from fossil fuel burning) use and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
34;Carbon Sequestration|CCS|Industrial Processes;Mt CO2/yr;Emi|CO2|Carbon Capture and Storage|IndustryCCS|Process;Mt CO2/yr;;;;;;Carbon Management|Storage|+|Industry Process;Mt CO2/yr;;;;;;;;total carbon dioxide emissions captured from industrial processes (e.g.,cement production,but not from fossil fuel burning) use and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
