parent;child;factor
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial;Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Education;1
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial;Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Health;1
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial;Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Heating;1
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial;Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Hotels;1
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial;Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Industrial & trade;1
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial;Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Offices;1
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial;Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Restaurant;1
Emissions|CO2|Energy|Demand|Residential and Commercial|Residential;Emissions|CO2|Energy|Demand|Residential and Commercial|Residential|Heating;1
Emissions|CO2|Energy|Demand|Residential and Commercial|Residential;Emissions|CO2|Energy|Demand|Residential and Commercial|Residential|Multi-family;1
Emissions|CO2|Energy|Demand|Residential and Commercial|Residential;Emissions|CO2|Energy|Demand|Residential and Commercial|Residential|Single family;1
Emissions|CO2|Energy|Demand|Residential and Commercial|Residential;Emissions|CO2|Energy|Demand|Residential and Commercial|Residential|Slum;1
Emissions|CO2|Energy|Demand|Transportation|Aviation;Emissions|CO2|Energy|Demand|Transportation|Aviation|Freight;1
Emissions|CO2|Energy|Demand|Transportation|Aviation;Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger;1
Emissions|CO2|Energy|Demand|Transportation|Maritime;Emissions|CO2|Energy|Demand|Transportation|Maritime|Freight;1
Emissions|CO2|Energy|Demand|Transportation|Maritime;Emissions|CO2|Energy|Demand|Transportation|Maritime|Passenger;1
Emissions|CO2|Energy|Demand|Transportation|Rail;Emissions|CO2|Energy|Demand|Transportation|Rail|Freight;1
Emissions|CO2|Energy|Demand|Transportation|Rail;Emissions|CO2|Energy|Demand|Transportation|Rail|Passenger;1
Emissions|CO2|Energy|Demand|Transportation|Road;Emissions|CO2|Energy|Demand|Transportation|Road|Freight;1
Emissions|CO2|Energy|Demand|Transportation|Road;Emissions|CO2|Energy|Demand|Transportation|Road|Passenger;1
Emissions|CO2|Energy|Demand|Industry;Emissions|CO2|Energy|Demand|Industry|Cement;1
Emissions|CO2|Energy|Demand|Industry;Emissions|CO2|Energy|Demand|Industry|Chemicals;1
Emissions|CO2|Energy|Demand|Industry;Emissions|CO2|Energy|Demand|Industry|Non-ferrous metals;1
Emissions|CO2|Energy|Demand|Industry;Emissions|CO2|Energy|Demand|Industry|Other;1
Emissions|CO2|Energy|Demand|Industry;Emissions|CO2|Energy|Demand|Industry|Plastics;1
Emissions|CO2|Energy|Demand|Industry;Emissions|CO2|Energy|Demand|Industry|Pulp and Paper;1
Emissions|CO2|Energy|Demand|Industry;Emissions|CO2|Energy|Demand|Industry|Steel;1
Emissions|CO2|Energy|Demand|Residential and Commercial;Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial;1
Emissions|CO2|Energy|Demand|Residential and Commercial;Emissions|CO2|Energy|Demand|Residential and Commercial|Residential;1
Emissions|CO2|Energy|Demand|Transportation;Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger;1
Emissions|CO2|Energy|Demand|Transportation;Emissions|CO2|Energy|Demand|Transportation|Maritime|Freight;1
Emissions|CO2|Energy|Demand|Transportation;Emissions|CO2|Energy|Demand|Transportation|Rail;1
Emissions|CO2|Energy|Demand|Transportation;Emissions|CO2|Energy|Demand|Transportation|Road;1
Emissions|CO2|Energy|Demand;Emissions|CO2|Energy|Demand|AFOFI;1
Emissions|CO2|Energy|Demand;Emissions|CO2|Energy|Demand|Industry;1
Emissions|CO2|Energy|Demand;Emissions|CO2|Energy|Demand|Other Sector;1
Emissions|CO2|Energy|Demand;Emissions|CO2|Energy|Demand|Residential and Commercial;1
Emissions|CO2|Energy|Demand;Emissions|CO2|Energy|Demand|Transportation;1
Emissions|CO2|Energy|Supply;Emissions|CO2|Energy|Supply|Electricity;1
Emissions|CO2|Energy|Supply;Emissions|CO2|Energy|Supply|Gases;1
Emissions|CO2|Energy|Supply;Emissions|CO2|Energy|Supply|Heat;1
Emissions|CO2|Energy|Supply;Emissions|CO2|Energy|Supply|Liquids;1
Emissions|CO2|Energy|Supply;Emissions|CO2|Energy|Supply|Other Sector;1
Emissions|CO2|Energy|Supply;Emissions|CO2|Energy|Supply|Solids;1
Emissions|CO2|Industrial Processes|Chemicals;Emissions|CO2|Industrial Processes|Chemicals|Ammonia;1
Emissions|CO2|Industrial Processes|Chemicals;Emissions|CO2|Industrial Processes|Chemicals|High value chemicals;1
Emissions|CO2|Industrial Processes|Chemicals;Emissions|CO2|Industrial Processes|Chemicals|Methanol;1
Emissions|CO2|Industrial Processes|Chemicals;Emissions|CO2|Industrial Processes|Chemicals|Other;1
Emissions|CO2|AFOLU;Emissions|CO2|AFOLU|Agriculture;1
Emissions|CO2|AFOLU;Emissions|CO2|AFOLU|Land;1
Emissions|CO2|Energy;Emissions|CO2|Energy|Demand;1
Emissions|CO2|Energy;Emissions|CO2|Energy|Supply;1
Emissions|CO2|Industrial Processes;Emissions|CO2|Industrial Processes|Cement;1
Emissions|CO2|Industrial Processes;Emissions|CO2|Industrial Processes|Chemicals;1
Emissions|CO2|Industrial Processes;Emissions|CO2|Industrial Processes|Non-ferrous metals;1
Emissions|CO2|Industrial Processes;Emissions|CO2|Industrial Processes|Other;1
Emissions|CO2|Industrial Processes;Emissions|CO2|Industrial Processes|Plastics;1
Emissions|CO2|Industrial Processes;Emissions|CO2|Industrial Processes|Pulp and Paper;1
Emissions|CO2|Industrial Processes;Emissions|CO2|Industrial Processes|Steel;1
Emissions|CO2;Emissions|CO2|AFOLU;1
Emissions|CO2;Emissions|CO2|Energy;1
Emissions|CO2;Emissions|CO2|Industrial Processes;1
Emissions|CO2;Emissions|CO2|Other;1
Emissions|CO2;Emissions|CO2|Waste;1
Emissions|HFC|AFOLU;Emissions|HFC|AFOLU|Agriculture;1
Emissions|HFC|AFOLU;Emissions|HFC|AFOLU|Land;1
