variable;unit;piam_variable;piam_unit;piam_factor;Definition;Comment;internal_comment;source
Final Energy|Bunkers|International Aviation|Liquids;EJ/yr;;;;;;;
Final Energy|Bunkers|International Aviation|Liquids|Biomass;EJ/yr;;;;;;;
Final Energy|Bunkers|International Aviation|Liquids|Electricity;EJ/yr;;;;;;;
Final Energy|Bunkers|International Aviation|Liquids|Fossil;EJ/yr;;;;;;;
Final Energy|Bunkers|International Shipping;EJ/yr;;;;;;;
Final Energy|Bunkers|International Shipping|Electricity;EJ/yr;;;;;;;
Final Energy|Bunkers|International Shipping|Gases;EJ/yr;;;;;;;
Final Energy|Bunkers|International Shipping|Gases|Biomass;EJ/yr;;;;;;;
Final Energy|Bunkers|International Shipping|Gases|Electricity;EJ/yr;;;;;;;
Final Energy|Bunkers|International Shipping|Gases|Fossil;EJ/yr;;;;;;;
Final Energy|Bunkers|International Shipping|Hydrogen;EJ/yr;;;;;;;
Final Energy|Bunkers|International Shipping|Hydrogen|Biomass;EJ/yr;;;;;;;
Final Energy|Bunkers|International Shipping|Hydrogen|Electricity;EJ/yr;;;;;;;
Final Energy|Bunkers|International Shipping|Hydrogen|Fossil;EJ/yr;;;;;;;
Final Energy|Bunkers|International Shipping|Liquids;EJ/yr;;;;;;;
Final Energy|Bunkers|International Shipping|Liquids|Biomass;EJ/yr;;;;;;;
Final Energy|Bunkers|International Shipping|Liquids|Electricity;EJ/yr;;;;;;;
Final Energy|Bunkers|International Shipping|Liquids|Fossil;EJ/yr;;;;;;;
Final Energy|Bunkers|Liquids;EJ/yr;FE|Transport|Bunkers|+|Liquids;EJ/yr;1;;;;R
Final Energy|Bunkers|Liquids|Biomass;EJ/yr;FE|Transport|Bunkers|Liquids|+|Biomass;EJ/yr;1;;;;R
Final Energy|Bunkers|Liquids|Electricity;EJ/yr;FE|Transport|Bunkers|Liquids|+|Hydrogen;EJ/yr;1;;;;R
Final Energy|Bunkers|Liquids|Fossil;EJ/yr;FE|Transport|Bunkers|Liquids|+|Fossil;EJ/yr;1;;;;R
Final Energy|Bunkers|Other;EJ/yr;;;;;;;
Final Energy|Bunkers|Passenger;EJ/yr;;;;;;;
Final Energy|Bunkers|International Aviation|Passenger;EJ/yr;;;;;;;
Final Energy|Bunkers|International Shipping|Passenger;EJ/yr;;;;;;;
Final Energy|Commercial;EJ/yr;;;;;;;
Final Energy|Commercial|Electricity;EJ/yr;;;;;;;
Final Energy|Commercial|Gases;EJ/yr;;;;;;;
Final Energy|Commercial|Gases|Biomass;EJ/yr;;;;;;;
Final Energy|Commercial|Gases|Electricity;EJ/yr;;;;;;;
Final Energy|Commercial|Gases|Fossil;EJ/yr;;;;;;;
Final Energy|Commercial|Heat;EJ/yr;;;;;;;
Final Energy|Commercial|Hydrogen;EJ/yr;;;;;;;
Final Energy|Commercial|Liquids;EJ/yr;;;;;;;
Final Energy|Commercial|Liquids|Biomass;EJ/yr;;;;;;;
Final Energy|Commercial|Liquids|Electricity;EJ/yr;;;;;;;
Final Energy|Commercial|Liquids|Fossil;EJ/yr;;;;;;;
Final Energy|Commercial|Other;EJ/yr;;;;;;;
Final Energy|Commercial|Solids;EJ/yr;;;;;;;
Final Energy|Commercial|Solids|Biomass;EJ/yr;;;;;;;
Final Energy|Commercial|Solids|Fossil;EJ/yr;;;;;;;
Final Energy|Electricity;EJ/yr;FE|+|Electricity;EJ/yr;1;;;;R
Final Energy|Gases;EJ/yr;FE|+|Gases;EJ/yr;1;;;;R
Final Energy|Gases|Biomass;EJ/yr;FE|Gases|+|Biomass;EJ/yr;1;;;;R
Final Energy|Gases|Electricity;EJ/yr;FE|Gases|+|Hydrogen;EJ/yr;1;;;;R
Final Energy|Gases|Fossil;EJ/yr;FE|Gases|+|Fossil;EJ/yr;1;;;;R
Final Energy|Geothermal;EJ/yr;;;;;;;
Final Energy|Heat;EJ/yr;FE|+|Heat;EJ/yr;1;;;;R
Final Energy|Hydrogen;EJ/yr;FE|+|Hydrogen;EJ/yr;1;;;;R
Final Energy|Industry;EJ/yr;FE|w/o Non-energy Use|Industry;EJ/yr;1;;;;R
Final Energy|Industry|Electricity;EJ/yr;FE|Industry|+|Electricity;EJ/yr;1;;;;R
Final Energy|Industry|Gases;EJ/yr;FE|w/o Non-energy Use|Industry|Gases;EJ/yr;1;;;;R
Final Energy|Industry|Gases|Biomass;EJ/yr;FE|w/o Non-energy Use|Industry|Gases|+|Biomass;EJ/yr;1;;;;R
Final Energy|Industry|Gases|Electricity;EJ/yr;FE|w/o Non-energy Use|Industry|Gases|+|Hydrogen;EJ/yr;1;;;;R
Final Energy|Industry|Gases|Fossil;EJ/yr;FE|w/o Non-energy Use|Industry|Gases|+|Fossil;EJ/yr;1;;;;R
Final Energy|Industry|Geothermal;EJ/yr;;;;;;;
Final Energy|Industry|Heat;EJ/yr;FE|Industry|+|Heat;EJ/yr;1;;;;R
Final Energy|Industry|Hydrogen;EJ/yr;FE|Industry|+|Hydrogen;EJ/yr;1;;;;R
Final Energy|Industry|Liquids;EJ/yr;FE|w/o Non-energy Use|Industry|Liquids;EJ/yr;1;;;;R
Final Energy|Industry|Liquids|Biomass;EJ/yr;FE|w/o Non-energy Use|Industry|Liquids|+|Biomass;EJ/yr;1;;;;R
Final Energy|Industry|Liquids|Electricity;EJ/yr;FE|w/o Non-energy Use|Industry|Liquids|+|Hydrogen;EJ/yr;1;;;;R
Final Energy|Industry|Liquids|Fossil;EJ/yr;FE|w/o Non-energy Use|Industry|Liquids|+|Fossil;EJ/yr;1;;;;R
Final Energy|Industry|Other;EJ/yr;;;;;;;
Final Energy|Industry|Chemicals;EJ/yr;FE|w/o Non-energy Use|Industry|Chemicals;EJ/yr;1;;;;R
Final Energy|Industry|Iron and Steel;EJ/yr;FE|Industry|+++|Steel;EJ/yr;1;;;;R
Final Energy|Industry|Non-Ferrous Metals;EJ/yr;;;;;;;
Final Energy|Industry|Non-Metallic Minerals;EJ/yr;FE|Industry|+++|Cement;EJ/yr;1;;;;R
Final Energy|Industry|Pulp and Paper;EJ/yr;;;;;;;
Final Energy|Industry|Other Sector;EJ/yr;FE|Industry|+++|Other Industry;EJ/yr;1;;;;R
Final Energy|Industry|Solar;EJ/yr;;;;;;;
Final Energy|Industry|Solids;EJ/yr;FE|w/o Non-energy Use|Industry|Solids;EJ/yr;1;;;;R
Final Energy|Industry|Solids|Biomass;EJ/yr;FE|w/o Non-energy Use|Industry|Solids|+|Biomass;EJ/yr;1;;;;R
Final Energy|Industry|Solids|Fossil;EJ/yr;FE|w/o Non-energy Use|Industry|Solids|+|Fossil;EJ/yr;1;;;;R
Final Energy|Industry|Waste;EJ/yr;;;;;;;
Final Energy|Liquids;EJ/yr;FE|+|Liquids;EJ/yr;1;;;;R
Final Energy|Liquids|Biomass;EJ/yr;FE|Liquids|+|Biomass;EJ/yr;1;;;;R
Final Energy|Liquids|Electricity;EJ/yr;FE|Liquids|+|Hydrogen;EJ/yr;1;;;;R
