variable;unit;piam_variable;piam_unit;piam_factor;description;source
Emissions|CH4|AFOLU;Mt CH4/yr;Emissions|CH4|Land|Biomass Burning|+|Burning of Crop Residues;Mt CH4/yr;;Emissions of methane (CH4) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), including agricultural emissions from livestock, rice cultivation and soil management as well as emissions from land use and land-use change such as deforestation, conversion of non-forest natural land, and drained peatlands;M
Emissions|CH4|AFOLU;Mt CH4/yr;Emissions|CH4|AFOLU|Land|Fires;Mt CH4/yr;;Emissions of methane (CH4) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), including agricultural emissions from livestock, rice cultivation and soil management as well as emissions from land use and land-use change such as deforestation, conversion of non-forest natural land, and drained peatlands;M
Emissions|CH4|AFOLU;Mt CH4/yr;Emi|CH4|Land-Use Change|+|Peatland;Mt CH4/yr;;Emissions of methane (CH4) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), including agricultural emissions from livestock, rice cultivation and soil management as well as emissions from land use and land-use change such as deforestation, conversion of non-forest natural land, and drained peatlands;R
Emissions|CH4|Energy and Industrial Processes;Mt CH4/yr;Emi|CH4|+|Energy Supply;Mt CH4/yr;;Emissions of methane (CH4) from energy use in supply and demand sectors (IPCC category 1A, 1B) and from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E), including emissions from international bunker fuels. This is the sum of sources and sinks, and includes negative emisisons in these sectors, for instance from bioenergy with CCS (BECCS);R
Emissions|CH4|Energy and Industrial Processes;Mt CH4/yr;Emi|CH4|+|Extraction;Mt CH4/yr;;Emissions of methane (CH4) from energy use in supply and demand sectors (IPCC category 1A, 1B) and from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E), including emissions from international bunker fuels. This is the sum of sources and sinks, and includes negative emisisons in these sectors, for instance from bioenergy with CCS (BECCS);R
Emissions|CH4|Energy and Industrial Processes;Mt CH4/yr;Emi|CH4|Extra|Transport|Bunkers|Freight;Mt CH4/yr;;Emissions of methane (CH4) from energy use in supply and demand sectors (IPCC category 1A, 1B) and from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E), including emissions from international bunker fuels. This is the sum of sources and sinks, and includes negative emisisons in these sectors, for instance from bioenergy with CCS (BECCS);R
Emissions|CH4|Energy and Industrial Processes;Mt CH4/yr;Emi|CH4|Extra|Buildings|Solids;Mt CH4/yr;;Emissions of methane (CH4) from energy use in supply and demand sectors (IPCC category 1A, 1B) and from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E), including emissions from international bunker fuels. This is the sum of sources and sinks, and includes negative emisisons in these sectors, for instance from bioenergy with CCS (BECCS);R
Emissions|CO2;Mt CO2/yr;Emi|CO2|w/ Bunkers;Mt CO2/yr;;Emissions of carbon dioxide (CO2) to the atmosphere;R
Emissions|CO2;Mt CO2/yr;Emissions|CO2|Land|Biomass Burning|+|Burning of Crop Residues;Mt CO2/yr;;Emissions of carbon dioxide (CO2) to the atmosphere;M
Emissions|CO2|AFOLU;Mt CO2/yr;Emi|CO2|+|Land-Use Change;Mt CO2/yr;;Emissions of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), including agricultural emissions from livestock, rice cultivation and soil management as well as emissions from land use and land-use change such as deforestation, conversion of non-forest natural land, and drained peatlands;R
Emissions|CO2|AFOLU;Mt CO2/yr;Emissions|CO2|Land|Biomass Burning|+|Burning of Crop Residues;Mt CO2/yr;;Emissions of carbon dioxide (CO2) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), including agricultural emissions from livestock, rice cultivation and soil management as well as emissions from land use and land-use change such as deforestation, conversion of non-forest natural land, and drained peatlands;M
Emissions|CO2|Energy and Industrial Processes;Mt CO2/yr;Emi|CO2|w/ Bunkers|Energy and Industrial Processes;Mt CO2/yr;1;Emissions of carbon dioxide (CO2) from energy use in supply and demand sectors (IPCC category 1A, 1B) and from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E), including emissions from international bunker fuels. This is the sum of sources and sinks, and includes negative emisisons in these sectors, for instance from bioenergy with CCS (BECCS);R
Emissions|CO2|Energy and Industrial Processes;Mt CO2/yr;Emi|CO2|Industrial Processes|+|CDR Sector;Mt CO2/yr;-1;Emissions of carbon dioxide (CO2) from energy use in supply and demand sectors (IPCC category 1A, 1B) and from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E), including emissions from international bunker fuels. This is the sum of sources and sinks, and includes negative emisisons in these sectors, for instance from bioenergy with CCS (BECCS);R
Emissions|Kyoto Gases;Mt CO2-equiv/yr;Emi|GHG|w/ Bunkers;Mt CO2eq/yr;;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases to the atmosphere;R
Emissions|Kyoto Gases|AFOLU;Mt CO2-equiv/yr;Emi|GHG|AFOLU;Mt CO2eq/yr;;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), including agricultural emissions from livestock, rice cultivation and soil management as well as emissions from land use and land-use change such as deforestation, conversion of non-forest natural land, and drained peatlands;R
Emissions|Kyoto Gases|Energy and Industrial Processes;Mt CO2-equiv/yr;Emi|GHG|w/ Bunkers|Energy;Mt CO2eq/yr;1;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from energy use in supply and demand sectors (IPCC category 1A, 1B) and from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E), including emissions from international bunker fuels. This is the sum of sources and sinks, and includes negative emisisons in these sectors, for instance from bioenergy with CCS (BECCS);R
Emissions|Kyoto Gases|Energy and Industrial Processes;Mt CO2-equiv/yr;Emi|GHG|+++|Industrial Processes;Mt CO2eq/yr;1;Emissions of Kyoto GHG emissions, including CO2, CH4, N2O and F-gases from energy use in supply and demand sectors (IPCC category 1A, 1B) and from industrial processes (IPCC categories 1A2, 1A5, 2A, 2B, 2C, 2E), including emissions from international bunker fuels. This is the sum of sources and sinks, and includes negative emisisons in these sectors, for instance from bioenergy with CCS (BECCS);R
Emissions|N2O;kt N2O/yr;Emi|N2O;kt N2O/yr;;Emissions of nitrous oxide (N2O) to the atmosphere;R
