variable;unit;piam_variable;piam_unit;piam_factor;weight;comment;source
AREA.OSD;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Oil crops|Other oil crops incl rapeseed;million ha;1000;NULL;;M
AREA.OSD;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Oil crops|Soybean;million ha;1000;NULL;;M
AREA.OSD;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Oil crops|Sunflower;million ha;1000;NULL;;M
ARIR.PFB;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Oil crops|Cotton seed|irrigated;million ha;1000;NULL;;M
ARRF.PFB;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Oil crops|Cotton seed|rainfed;million ha;1000;NULL;;M
ARIR.OSD;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Oil crops|Groundnuts|irrigated;million ha;1000;NULL;;M
ARRF.OSD;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Oil crops|Groundnuts|rainfed;million ha;1000;NULL;;M
ARIR.OSD;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Oil crops|Oilpalms|irrigated;million ha;1000;NULL;;M
ARRF.OSD;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Oil crops|Oilpalms|rainfed;million ha;1000;NULL;;M
ARIR.OSD;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Oil crops|Other oil crops incl rapeseed|irrigated;million ha;1000;NULL;;M
ARRF.OSD;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Oil crops|Other oil crops incl rapeseed|rainfed;million ha;1000;NULL;;M
ARIR.OSD;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Oil crops|Soybean|irrigated;million ha;1000;NULL;;M
ARRF.OSD;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Oil crops|Soybean|rainfed;million ha;1000;NULL;;M
ARIR.OSD;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Oil crops|Sunflower|irrigated;million ha;1000;NULL;;M
ARRF.OSD;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Oil crops|Sunflower|rainfed;million ha;1000;NULL;;M
AREA.VFN;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Other crops|Fruits Vegetables Nuts;million ha;1000;NULL;;M
AREA.OCR;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Other crops|Potatoes;million ha;1000;NULL;;M
AREA.OCR;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Other crops|Pulses;million ha;1000;NULL;;M
AREA.OCR;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Other crops|Tropical roots;million ha;1000;NULL;;M
ARIR.VFN;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Other crops|Fruits Vegetables Nuts|irrigated;million ha;1000;NULL;;M
ARRF.VFN;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Other crops|Fruits Vegetables Nuts|rainfed;million ha;1000;NULL;;M
ARIR.OCR;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Other crops|Potatoes|irrigated;million ha;1000;NULL;;M
ARRF.OCR;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Other crops|Potatoes|rainfed;million ha;1000;NULL;;M
ARIR.OCR;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Other crops|Pulses|irrigated;million ha;1000;NULL;;M
ARRF.OCR;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Other crops|Pulses|rainfed;million ha;1000;NULL;;M
ARIR.OCR;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Other crops|Tropical roots|irrigated;million ha;1000;NULL;;M
ARRF.OCR;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Other crops|Tropical roots|rainfed;million ha;1000;NULL;;M
ARIR.SGC;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Sugar crops|irrigated;million ha;1000;NULL;;M
ARRF.SGC;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Sugar crops|rainfed;million ha;1000;NULL;;M
SOCS.CRP;tC/ha;Resources|Soil Carbon|Actual|Density|SOC in top 30 cm|Cropland Soils;tC/ha;1;NULL;;M
WATR.TOT;km3;Resources|Water|Withdrawal|Agriculture;km3/yr;1;NULL;;M
WATR.ECP;km3;Resources|Water|Withdrawal|Agriculture|Crops|Bioenergy crops;km3/yr;1;NULL;;M
WATR.CRP;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops;km3/yr;1;NULL;;M
WATR.SGC;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Sugar crops;km3/yr;1;NULL;;M
WATR.CGR;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Cereals|Maize;km3/yr;1;NULL;;M
WATR.RIC;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Cereals|Rice;km3/yr;1;NULL;;M
WATR.WHT;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Cereals|Temperate cereals;km3/yr;1;NULL;;M
WATR.CGR;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Cereals|Tropical cereals;km3/yr;1;NULL;;M
WATR.PFB;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Oil crops|Cotton seed;km3/yr;1;NULL;;M
WATR.OSD;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Oil crops|Groundnuts;km3/yr;1;NULL;;M
WATR.OSD;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Oil crops|Oilpalms;km3/yr;1;NULL;;M
WATR.OSD;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Oil crops|Other oil crops incl rapeseed;km3/yr;1;NULL;;M
WATR.OSD;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Oil crops|Soybean;km3/yr;1;NULL;;M
WATR.OSD;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Oil crops|Sunflower;km3/yr;1;NULL;;M
WATR.VFN;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Other crops|Fruits Vegetables Nuts;km3/yr;1;NULL;;M
WATR.OCR;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Other crops|Potatoes;km3/yr;1;NULL;;M
WATR.OCR;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Other crops|Pulses;km3/yr;1;NULL;;M
WATR.OCR;km3;Resources|Water|Withdrawal|Agriculture|Crops|Crops|Other crops|Tropical roots;km3/yr;1;NULL;;M
GDPT.TOT;bn USD 2005 MER;Income MER;million US$2017 MER/yr;0.0008121;NULL;;M
NETT.ECP;1000 t dm;Trade|Net-Trade|Bioenergy crops;Mt DM/yr;1000;NULL;;M
NETT.AGR;1000 t dm;Trade|Net-Trade|Crops;Mt DM/yr;1000;NULL;;M
NETT.CRP;1000 t dm;Trade|Net-Trade|Crops;Mt DM/yr;1000;NULL;;M
NETT.FSH;1000 t dm;Trade|Net-Trade|Fish;Mt DM/yr;1000;NULL;;M
NETT.AGR;1000 t dm;Trade|Net-Trade|Livestock products;Mt DM/yr;1000;NULL;;M
NETT.LSP;1000 t dm;Trade|Net-Trade|Livestock products;Mt DM/yr;1000;NULL;;M
NETT.AGR;1000 t dm;Trade|Net-Trade|Secondary products;Mt DM/yr;1000;NULL;;M
NETT.CRP;1000 t dm;Trade|Net-Trade|Secondary products;Mt DM/yr;1000;NULL;;M
NETT.SGC;1000 t dm;Trade|Net-Trade|Crops|Sugar crops;Mt DM/yr;1000;NULL;;M
NETT.CGR;1000 t dm;Trade|Net-Trade|Crops|Cereals|Maize;Mt DM/yr;1000;NULL;;M
NETT.RIC;1000 t dm;Trade|Net-Trade|Crops|Cereals|Rice;Mt DM/yr;1000;NULL;;M
NETT.WHT;1000 t dm;Trade|Net-Trade|Crops|Cereals|Temperate cereals;Mt DM/yr;1000;NULL;;M
NETT.CGR;1000 t dm;Trade|Net-Trade|Crops|Cereals|Tropical cereals;Mt DM/yr;1000;NULL;;M
NETT.PFB;1000 t dm;Trade|Net-Trade|Crops|Oil crops|Cotton seed;Mt DM/yr;1000;NULL;;M
NETT.OSD;1000 t dm;Trade|Net-Trade|Crops|Oil crops|Groundnuts;Mt DM/yr;1000;NULL;;M
NETT.OSD;1000 t dm;Trade|Net-Trade|Crops|Oil crops|Other oil crops incl rapeseed;Mt DM/yr;1000;NULL;;M
NETT.OSD;1000 t dm;Trade|Net-Trade|Crops|Oil crops|Soybean;Mt DM/yr;1000;NULL;;M
NETT.OSD;1000 t dm;Trade|Net-Trade|Crops|Oil crops|Sunflower;Mt DM/yr;1000;NULL;;M
NETT.VFN;1000 t dm;Trade|Net-Trade|Crops|Other crops|Fruits Vegetables Nuts;Mt DM/yr;1000;NULL;;M
NETT.OCR;1000 t dm;Trade|Net-Trade|Crops|Other crops|Potatoes;Mt DM/yr;1000;NULL;;M
NETT.OCR;1000 t dm;Trade|Net-Trade|Crops|Other crops|Pulses;Mt DM/yr;1000;NULL;;M
NETT.OCR;1000 t dm;Trade|Net-Trade|Crops|Other crops|Tropical roots;Mt DM/yr;1000;NULL;;M
